Field Name;Field Type;Field Slug;Field ID
Auto Increment;Number;auto_increment;
Record ID;Id;id;
Created At;Date/Time;created_at;
ID Solicitacao;Auto Increment;field_85;53GN69vrzx
Link EMAIL (solicitacao);Link;field_137;kOGQ3JGNln
Status;Select;field_114;L5MjKewN0k
Rede;Connection;field_175;mloNLRnjM8
Data da Solicitacao (email);Date;field_103;5m9N07brzq
Nome Cliente;Connection;field_86;4AXQvvaQLY
Data/Hora inclusao;Date/Time;field_89;DVWQW2RNZ4
Referencia do Cliente;Text;field_139;LX6QaB7jZk
Tipo do Imovel;Select;field_92;4PzQ40GQJG
Condicao de Habitacao;Radio;field_93;oaANB91r1b
Bairro/Localidade;Connection;field_142;4AXQvOxjLY
Endereco do Imovel;Address;field_94;o6WQba5NnB
Street View A;Text Formula;field_271;m72Npg7rwv
Street View B;Text Formula;field_272;l5nQxExjxY
Street View - Formula;Equation;field_270;4Z9Q2yyN2m
Complemento;Text;field_136;JawrR1qj5k
m2;Number;field_95;lGArg97QmR
Nome do Condominio;Text;field_96;eykNODvQDY
Descricao do Imovel;Rich Text;field_97;K2ejlvONo9
Contato para agendar 01;Text;field_177;W4yQkw3QgP
Contato para agendar 02;Text;field_178;W0VNqo0jml
Observacao para o Agendamento;Rich Text;field_276;B8qQPB0r16
Corretor Responsavel;Connection;field_179;kVXr7gbrJe
Data do agendamento;Date;field_106;o6WQbadNnB
Horario da Sessao;Text;field_183;LX6QaR7jZk
Tipo do Servico;Checkbox;field_110;698rdOnjZw
Fotografo;Connection;field_111;q3kjZDEN6V
Fazer Area Comum;Radio;field_124;ObEjEo3NK5
Referencias a serem copiadas;Text;field_206;o6WQbOBjnB
Observacao para o Fotografo;Rich Text;field_112;JDXQ8MPjYR
Data Realizada;Date;field_113;VX9QoW0QwY
Feedback da Sessao (fotografo, gestor e/ou editor);Rich Text;field_115;DVarwRmjOR
Quilometragem;Number;field_116;K68j9W8N2V
Tour 360;Number;field_117;6b1rALdjKk
Quantidade de sess�es FOTO;Number;field_118;3GDN1yqNeq
Quantidade de inclusoes;Number;field_186;4AXQvKxjLY
Quantidade Drone (video);Number;field_188;ka6jMPMQ75
Quantidade video;Number;field_187;P74QYvLjBE
Codigo Vitrine;Number;field_119;X9EjV2kjo2
Cobranca;Select;field_184;M03rz2Ar69
Observacao para o CLIENTE;Rich Text;field_189;DVWQWy3rZ4
Pre-Solicitacao;Radio;field_219;X9EjVyMQo2
Publicar Agenda;Radio;field_223;4YZjn7mrPv
Diretorio;Text Formula;field_233;W4yQkm6rgP
Formato Apolar;Text Formula;field_234;W0VNq2xQml
"Mensagem - ""Ola, conforme contato, a sess�o fotografica do imovel""";Text Formula;field_215;DVarwO3rOR
"msg 1 - ""Ficou agenada para""";Text Formula;field_277;W4yQkJ6NgP
"msg 2 - ""A previs�o de chegada do fot�grafo no local est� entre""";Text Formula;field_242;4AXQv2ZQLY
"msg 3 - ""IMPORTANTE o imovel estar organizado e pronto....""";Text Formula;field_243;P74QYREjBE
msg 4 - At.te;Text Formula;field_244;ka6jMY9j75
