Auto Increment;Record ID;Created On;ID Cliente;Nome Empresa;Rede;Email Cliente 01;Email Cliente 02;EndereÃ§o Loja (Cliente);Cliente desde;Data de cadastro no sistema (Cliente);Dados Empresa;ObservaÃ§Ã£o Cliente;Website Cliente;Tota de ServiÃ§os (Cliente);ServiÃ§os Pendente de Agendamento (Cliente);ServiÃ§os Agendados (Cliente);ServiÃ§os Realizados no mÃªs corrente (Cliente);ServiÃ§os Aguardando Retorno (Cliente);ServiÃ§os Cancelados (Cliente);CNPJ/CPF;ServiÃ§os Realizados no mÃªs anterior (Cliente);Fone Fixo 01 - CLIENTE;Celular 01 - CLIENTE;Fone Fixo 02 - CLIENTE;Celular 02 - CLIENTE;Corretor;PreferÃªncia da imobiliÃ¡ria para o agendamento;Preferencias da ImobiliÃ¡ria a respeito do serviÃ§o do fotografo;SessÃ£o FotogrÃ¡fica;Ref
339;LX6Qa7krZk;31/07/2025 16:24;558;Yuri corretor;;;;;;31/07/2025;;;;0;0;0;0;0;0;;0;;;;;;;;;
338;0DzjGPOrYp;16/07/2025 10:23;557;Elaine Corretora;Outros;;;;;16/07/2025;;;;1;0;0;1;0;0;;1;;;;;;;;;
337;kOGQ30Djln;04/07/2025 11:48;556;Lopes V2MJ;Lopes;;;420 Rua Moysés Marcondes, , 80030-410;;04/07/2025;;CNPJ: 57.487.420/0001-61;;15;4;1;2;0;2;;5;;;;;;;;;
336;JawrRzlr5k;20/06/2025 13:11;555;mahal;;;;671 Rua Alberto Bolliger, , 80030-280;;20/06/2025;;;;2;1;0;1;0;0;;2;;;;;;;;;
335;kVXr7O7rJe;16/06/2025 13:47;554;spazio;Outros;SPAZIOIMOVEISCURITIBA@GMAIL.COM;;718 Rua Mateus Leme, , 80530-010;10/06/2025;16/06/2025;CONTATO(41) 98711-4443(41) 98711-4443;;;0;0;0;0;0;0;;0;;;;;;;;;
334;W0VNqOWjml;29/05/2025 15:31;553;eighth floor;Outros;;;2150 Avenida Rep. Argentina, , 80610-260;29/05/2025;29/05/2025;;;;1;1;0;0;0;0;;1;;;;;;<p>augusto&nbsp;;;
333;W4yQk7EQgP;26/05/2025 19:38;552;Spazio;Outros;;;;;26/05/2025;;;;3;0;0;2;0;0;;3;;;;;;;;;
332;B8qQPzVr16;14/05/2025 03:05;551;H5 Imoveis;Outros;;;1529 Avenida Munhoz da Rocha, , 80035-000;12/05/2025;14/05/2025;Av Munhoz da Rocha, nº1529, fundos - Cabral - Curitiba / PR - CEP: 80035-000 CRECI: 3942J / Combinado R$ 100,00 com Sr. Fernando;;www.h5imoveis.com.br;1;0;0;1;0;0;;1;;;;;;;;;
331;mloNLz7jM8;07/05/2025 18:11;550;Marcosul;Outros;marcosul.nereu@gmail.com;;840 Avenida Tomaz Edison de Andrade Vieira, , 83327-160;07/05/2025;07/05/2025;CRECI: J 5650;;https://www.marcosulimoveis.com.br/;6;3;0;2;0;0;;6;;;;;;;;;
330;oGWN5B8QlA;15/04/2025 16:35;549;Novo Mundo;Apolar;;;;01/03/2025;15/04/2025;oGWN5B8QlA;;;43;0;0;0;0;0;;2;;;;;;;;;
329;3xPjX56rKG;03/04/2025 17:34;536;Maria Luiza;Outros;;;;03/04/2025;03/04/2025;;;;2;0;0;2;0;0;;2;;;;;;;;;
328;l5nQxlbQxY;26/03/2025 16:26;535;Solos;;solos@solosimobiliaria.com.br;;;26/03/2025;26/03/2025;Solos Planejamento Imobiliário ;;;;;;;;;;;;;;;;;;;
327;m72Np7vrwv;17/03/2025 21:05;534;Camila Borges;Outros;camila.c.borges@gmail.com;;;17/03/2025;17/03/2025;ex corretora da VivaVille 55 41 9845-3343;;;5;0;0;0;0;0;;2;;;;;;;;;
326;4Z9Q2JmQ2m;11/03/2025 15:58;533;LC Sampaio;Outros;vendas@lcsampaioimoveis.com.br;;212 Rua Odair Pazello, , 81130-080;11/03/2025;11/03/2025;CRECI: 06303J / (41) 3019-8048 / 28.797.079/0001-42;;www.lcsampaioimoveis.com.br;1;0;0;0;0;0;;1;;;;;;;;;
325;7oOjDwMQB9;17/12/2024 17:48;532;;;;;;;17/12/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
324;ObEjEz0rK5;17/12/2024 17:48;531;CONQUI;Outros;;;;;17/12/2024;;;;4;0;0;0;0;0;;1;;;;;;;;;
323;4YZjndRNPv;02/12/2024 16:40;530;RC Imoveis;;;;2435 Rua Ourizona, , 81920-620;02/12/2024;02/12/2024;RC EMPREENDIMENTOS IMOBILIÁRIOS RONI CESAR LAITNER DE LIMA E CIA LTDA ;;;;;;;;;;;;;;;;;;;
321;pPEry2yNOn;11/11/2024 12:45;528;Casa7 imóveis;Outros;;;;;11/11/2024;;;;0;1;0;0;0;0;;0;;;;;;;;;
320;DkMjmyKjvV;15/10/2024 17:26;527;iQuattro;Outros;;;;;15/10/2024;;;;10;0;0;0;0;3;;0;;;;;;;;;
319;X9EjVDqNo2;08/10/2024 17:50;526;Laura Tanios;Outros;;;;;08/10/2024;;;;6;0;0;0;0;1;;0;;;;;;;;;
318;3GDN1WRjeq;08/10/2024 17:48;525;;Outros;;;;;08/10/2024;;;Laura Tanios Curadoria Imobiliária;0;0;0;0;0;0;;0;;;;;;;;;
317;6b1rAp1jKk;30/09/2024 10:32;524;JYO Valença - Julia;Outros;;;;30/09/2024;30/09/2024;10.920.029/0001-45;;;1;0;0;1;0;0;;1;;;;;;;;;
316;K68j9OlN2V;26/09/2024 15:27;523;Rogerio Castilhos AUTONOMO;Outros;;;;;26/09/2024;;;;1;0;0;0;0;0;;1;;;;;;;;;
315;DVarwllNOR;16/08/2024 17:29;522;CAMILA / DANI;Outros;;;;;16/08/2024;;;;0;0;2;0;0;0;;0;;;;;;;;;
314;L5MjK6MQ0k;14/08/2024 14:30;521;RG IMÓVEIS;Outros;;;;;14/08/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
313;VX9QoV9NwY;10/08/2024 10:41;520;Ninon autonoma;Outros;;;;;10/08/2024;;;;4;0;0;1;0;0;;1;;;;;;;;;
312;JDXQ8OgNYR;09/08/2024 10:03;519;;;;;;;09/08/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
311;q3kjZM5Q6V;09/08/2024 10:03;518;Valsa Homes;Outros;;;;;09/08/2024;;;;129;4;10;9;0;17;;15;;;;;;;;;
310;698rd7OjZw;06/08/2024 17:50;517;ANA WILKE E DANI;Outros;;;;;06/08/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
309;K2ejl96ro9;06/08/2024 17:49;516;;;;;;;06/08/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
308;eykNOzPrDY;06/08/2024 17:49;515;;;;;;;06/08/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
307;lGArgaqQmR;06/08/2024 17:49;514;ANA WILKE e DANI;Outros;;;;;06/08/2024;;;;0;0;1;0;0;0;;0;;;;;;;;;
306;o6WQb5VNnB;03/08/2024 19:44;513;Camila Miranda Corretora;Outros;;;;;03/08/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
305;oaANBDvj1b;02/07/2024 15:17;512;W Investments;Outros;;;;;02/07/2024;;;;9;0;1;0;0;0;;1;;;;;;;;;
304;4PzQ489QJG;12/06/2024 15:56;511;;;;;;;12/06/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
303;5m9N09BQzq;12/06/2024 15:55;510;;;;;;;12/06/2024;cnpj: 09168174000132;;;0;0;0;0;0;0;;0;;;;;;;;;
302;4MXQJqaNZ6;12/06/2024 15:55;509;Bellos;Outros;;;246 Rua Frederico Cantarelli, , 80710-240;12/06/2024;12/06/2024;;;https://www.bellosimoveis.com.br/;0;0;0;0;0;0;;0;;;;;;;;;
301;DVWQWvGNZ4;12/06/2024 15:51;508;Bellos;Outros;;;;;12/06/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
300;ka6jMJ3r75;05/06/2024 16:35;507;Roberto autonomo;Outros;;;;;05/06/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
299;q3kjZoxr6V;21/05/2024 15:27;506;KS;Outros;;;;;21/05/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
298;698rdvkQZw;18/04/2024 16:44;505;ÚNIKO NEGOCIOS IMOBILIÁRIOS;Outros;;;;;18/04/2024;;;;1;0;0;1;0;0;;1;;;;;;;;;
297;K2ejl0Bjo9;28/03/2024 15:05;504;Pina;Outros;;;;;28/03/2024;;;;1;1;0;1;0;0;;1;;;;;;;;;
296;eykNO4dQDY;22/02/2024 11:03;503;Claro Imobiliária;Outros;;;;;22/02/2024;;;;7;0;0;0;0;0;;1;;;;;;;;;
295;lGArgaPQmR;29/01/2024 18:43;502;cláudia particular;Outros;;;;;29/01/2024;;;;1;0;0;0;0;0;;0;;;;;;;;;
294;o6WQb5BNnB;29/01/2024 18:38;501;;;;;;;29/01/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
293;oaANBDZj1b;29/01/2024 18:38;500;Cáudia particular;Outros;;;;;29/01/2024;;;;0;0;0;0;0;0;;0;;;;;;;;;
292;4PzQ48gQJG;09/01/2024 18:24;499;Rodrigo Dias Autônomo;Outros;;;;;09/01/2024;;;;1;0;0;0;0;0;;0;;;;;;;;;
291;5m9N09xQzq;23/12/2023 09:52;498;vivi autonoma;Outros;;;;;23/12/2023;;;;0;0;0;0;0;1;;0;;;;;;;;;
290;4MXQJqKNZ6;21/12/2023 17:41;497;VICENTE PARTICULAR;Outros;;;;;21/12/2023;;;;1;0;0;0;0;0;;1;;;;;;;;;
289;DVWQWv4NZ4;18/12/2023 09:38;496;Chay Particular;Outros;;;;;18/12/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
288;ka6jMJ9r75;15/12/2023 13:12;495;Frentte Imóveis;Outros;;;;;15/12/2023;;;;2;0;0;0;0;0;;0;;;;;;;;;
287;P74QYzEjBE;11/12/2023 13:42;494;;;;;;;11/12/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
286;4AXQvoZjLY;11/12/2023 13:42;493;Particular andre luis rausch;;;;;;11/12/2023;André Luís Neves Aguilar;;;;;;;;;;;;;;;;;;;
285;53GN6GzQzx;24/11/2023 13:18;492;Elizete Autonôma;Outros;;;;;24/11/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
284;M03rzZOr69;24/11/2023 12:01;491;Elizete Particular;Outros;;;;;24/11/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
283;LX6QaqXQZk;20/11/2023 09:13;490;Arthur Schuchovski Particular;Outros;;;;;20/11/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
282;0DzjGRLQYp;18/11/2023 11:24;489;CAM;Outros;;;;;18/11/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
281;kOGQ3ZMNln;04/11/2023 10:40;488;;;;;;;04/11/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
280;JawrRPaQ5k;04/11/2023 10:39;487;Terezinha autonoma;Outros;;;;;04/11/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
279;kVXr7RojJe;28/09/2023 16:01;486;Vente Imóveis;Outros;;;;;28/09/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
278;W0VNq6xQml;18/09/2023 12:31;485;Ervin Particular;Outros;;;;;18/09/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
277;W4yQkJ6NgP;14/09/2023 15:17;484;Bruno Sampaio - Autônomo;Outros;;;;;14/09/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
276;B8qQPB0r16;01/09/2023 17:55;483;Yuri Autonomo;Outros;;;;;01/09/2023;;;;1;0;0;0;0;0;;1;;;;;;;;;
275;mloNLWYrM8;11/08/2023 17:35;482;Luciano Autônomo;Outros;;;;;11/08/2023;;;;2;0;0;1;0;0;;1;;;;;;;;;
