"Auto Increment","Record ID","Created On","Bairro Name","Auto Increment"
ÿþ119,X9EjV2kjo2,"2020-03-20 12:21:42",Itapoá,201
118,3GDN1yqNeq,"2020-03-20 11:43:53",Apucarana,200
117,6b1rALdjKk,"2020-02-27 15:10:24",Piçarras,199
116,K68j9W8N2V,"2020-02-26 20:36:46","Pontal do Parana",198
115,DVarwRmjOR,"2020-02-20 17:27:14",Uberaba,197
114,L5MjKewN0k,"2020-01-23 11:20:12",Guaratuba,196
113,VX9QoW0QwY,"2020-01-15 09:32:55",Leste/Sudeste,195
112,JDXQ8MPjYR,"2020-01-14 16:33:27",Quitandinha,194
111,q3kjZDEN6V,"2020-01-14 16:33:16","Bocaiuva do Sul",193
110,698rdOnjZw,"2020-01-14 16:32:59","R B Sul",192
109,K2ejlv3No9,"2020-01-14 16:32:47","C Magro",191
108,eykNODBQDY,"2020-01-14 16:32:27","F R Grande",190
107,lGArg9kQmR,"2020-01-14 16:32:19","C G Sul",189
106,o6WQbadNnB,"2020-01-14 16:32:07","Quatro Barras",188
105,oaANB9wr1b,"2020-01-14 16:32:02",Pinhais,187
104,4PzQ40JQJG,"2020-01-14 16:31:56",Piraquara,186
103,5m9N07brzq,"2020-01-14 16:31:50",SJP,185
102,4MXQJdxrZ6,"2020-01-14 16:31:42",Mandirituba,184
101,DVWQW23NZ4,"2020-01-14 16:31:36",Contenda,183
100,ka6jMGMN75,"2020-01-14 16:31:26",Araucaria,182
99,q3kjZDVN6V,"2020-01-14 16:31:18",Lapa,181
98,698rdO2jZw,"2020-01-14 16:31:10","B Nova",180
97,K2ejlvONo9,"2020-01-14 16:30:59","C Largo",179
96,eykNODvQDY,"2020-01-14 16:27:18",Noroeste/Oeste,178
95,lGArg97QmR,"2020-01-14 16:27:00",Oeste,177
94,o6WQba5NnB,"2020-01-14 16:26:55",Nordeste/Norte,176
93,oaANB91r1b,"2020-01-14 16:26:42",Central,175
92,4PzQ40GQJG,"2020-01-14 16:26:31",Sul,174
91,5m9N07nrzq,"2019-11-06 09:20:01",Curitiba,173
90,4MXQJddrZ6,"2019-11-06 09:19:46",Litoral,172
89,DVWQW2RNZ4,"2019-11-06 09:19:39","Quatro Barras",171
88,ka6jMGoN75,"2019-11-06 09:19:27","Campo Magro",170
87,P74QY8bNBE,"2019-11-06 09:19:23","Campo Largo",169
86,4AXQvvaQLY,"2019-11-06 09:19:13","Fazenda Rio Grande",168
85,53GN69vrzx,"2019-11-06 09:18:59",Piraquara,167
84,M03rzEbj69,"2019-11-06 09:18:52","Campina Grande do Sul",166
83,LX6QaLwNZk,"2019-11-06 09:18:45","C Gde Sul",165
82,0DzjGXarYp,"2019-11-06 09:18:37","A Tamandaré",164
81,kOGQ3ogQln,"2019-11-06 09:18:26",Colombo,163
80,JawrRRJr5k,"2019-11-06 09:15:50",Araucária,162
79,kVXr7nxjJe,"2019-11-06 09:15:46",Pinhais,161
78,W0VNqy8Nml,"2019-11-06 09:15:36","São Jose dos Pinhais",160
77,W4yQk34QgP,"2019-04-29 18:05:10",Barreirinha,159
76,B8qQPyZj16,"2019-04-29 18:04:46",Boqueirao,158
75,mloNL2GjM8,"2019-04-26 10:16:28",Xaxim,157
74,oGWN5eqNlA,"2019-04-26 10:16:24","V Alegre",156
73,3xPjX7YQKG,"2019-04-26 10:16:20","V Izabel",155
72,l5nQx1LjxY,"2019-04-26 10:16:16",Umbara,154
71,m72NpJojwv,"2019-04-26 10:16:12",Tangua,153
70,4Z9Q2G9j2m,"2019-04-26 10:16:05",Tingui,152
69,7oOjD1drB9,"2019-04-26 10:16:01",Tatuquara,151
68,ObEjEpOQK5,"2019-04-26 10:15:57",Taruma,150
67,4YZjnnDjPv,"2019-04-26 10:15:52",Taboao,149
66,PblNe86rxw,"2019-04-26 10:15:47","S Cercado",148
65,pPErydWjOn,"2019-04-26 10:15:43",Seminario,147
64,DkMjmvwrvV,"2019-04-26 10:15:37","S Miguel",146
63,X9EjVzXjo2,"2019-04-26 10:15:33","S Lourenco",145
62,3GDN1ZmQeq,"2019-04-26 10:15:29","S Joao",144
61,6b1rA8KjKk,"2019-04-26 10:15:25","S Francisco",143
60,K68j92gr2V,"2019-04-26 10:15:21","S Bras",142
59,DVarwKJrOR,"2019-04-26 10:15:17","S Inacio",141
58,L5MjKqxN0k,"2019-04-26 10:15:13","S Quiteria",140
57,VX9QoZeNwY,"2019-04-26 10:15:09","S Felicidade",139
56,JDXQ8E0jYR,"2019-04-26 10:15:05","S Candida",138
55,q3kjZ2Vj6V,"2019-04-26 10:15:01",Riviera,137
54,698rd32jZw,"2019-04-26 10:14:57",Rebouças,136
