"id";"auto_increment";"created_at";"field_140";"field_141"
"DVWQWRNZ49";"1";"2019-04-24 19:55:17";"Agua verde";"83"
"4MXQJdrZ6v";"2";"2019-04-26 10:09:26";"Abranches";"84"
"5m9N0njzqk";"3";"2019-04-26 10:09:29";"A Verde";"85"
"4PzQ4GNJGV";"4";"2019-04-26 10:09:36";"Ahu";"86"
"oaANB1r1by";"5";"2019-04-26 10:09:43";"A Boqueirao";"87"
"o6WQb5NnBZ";"6";"2019-04-26 10:09:47";"Alto XV";"88"
"lGArg7rmR6";"7";"2019-04-26 10:09:52";"A Gloria";"89"
"eykNOvrDY3";"8";"2019-04-26 10:09:56";"Atuba";"90"
"K2ejlOQo9B";"9";"2019-04-26 10:10:00";"Augusta";"91"
"698rd2QZwd";"10";"2019-04-26 10:10:04";"Bacacheri";"92"
"q3kjZVj6Vb";"11";"2019-04-26 10:10:09";"B Alto";"93"
"JDXQ80QYRl";"12";"2019-04-26 10:10:17";"Batel";"94"
"VX9QoerwYv";"13";"2019-04-26 10:10:21";"Bigorrilho";"95"
"L5MjKxr0kq";"14";"2019-04-26 10:10:25";"B Vista";"96"
"DVarwJjORP";"15";"2019-04-26 10:10:29";"B Retiro";"97"
"K68j9gN2V7";"16";"2019-04-26 10:10:33";"Butiatuvinha";"98"
"6b1rAKQKkA";"17";"2019-04-26 10:10:37";"Cabral";"99"
"3GDN1mNeqP";"18";"2019-04-26 10:10:42";"Cachoeira";"100"
"X9EjVXNo2K";"19";"2019-04-26 10:10:45";"Cajuru";"101"
"DkMjmwNvV6";"20";"2019-04-26 10:10:49";"C Siqueira";"102"
"pPEryWQOnV";"21";"2019-04-26 10:10:54";"C Comprido";"103"
"PblNe6QxwL";"22";"2019-04-26 10:10:58";"C Santana";"104"
"4YZjnDNPvl";"23";"2019-04-26 10:11:01";"C Imbuia";"105"
"ObEjEONK5p";"24";"2019-04-26 10:11:05";"C Raso";"106"
"7oOjDdjB9A";"25";"2019-04-26 10:11:09";"Cascatinha";"107"
"4Z9Q29N2mo";"26";"2019-04-26 10:11:13";"Caximba";"108"
