"Auto Increment","Record ID","Created On","ID Cliente","Nome Empresa","Email Cliente 01","Email Cliente 02","EndereÃ§o Loja (Cliente)","Cliente desde","Data de cadastro no sistema (Cliente)","Dados Empresa","ObservaÃ§Ã£o Cliente","Website Cliente","Tota de ServiÃ§os (Cliente)","ServiÃ§os Pendente de Agendamento (Cliente)","ServiÃ§os Agendados (Cliente)","ServiÃ§os Realizados no mÃªs corrente (Cliente)","ServiÃ§os Aguardando Retorno (Cliente)","ServiÃ§os Cancelados (Cliente)",CNPJ/CPF,Rede,"ServiÃ§os Realizados no mÃªs anterior (Cliente)","Fone Fixo 01 - CLIENTE","Celular 01 - CLIENTE","Fone Fixo 02 - CLIENTE","Celular 02 - CLIENTE",Corretor,"PreferÃªncia da imobiliÃ¡ria para o agendamento","Preferencias da ImobiliÃ¡ria a respeito do serviÃ§o do fotografo","SessÃ£o FotogrÃ¡fica",Ref
ÿþ339,LX6Qa7krZk,"2025-07-31 16:24:19",558,"Yuri corretor",,,,,2025-07-31,,,,0,0,0,0,0,0,,,0,,,,,,,,,
338,0DzjGPOrYp,"2025-07-16 10:23:19",557,"Elaine Corretora",,,,,2025-07-16,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
337,kOGQ30Djln,"2025-07-04 11:48:41",556,"Lopes V2MJ",,,"420 Rua Moysés Marcondes, , 80030-410",,2025-07-04,,"CNPJ: 57.487.420/0001-61",,12,5,0,2,0,2,,Lopes,8,,,,,,,,,
336,JawrRzlr5k,"2025-06-20 13:11:32",555,mahal,,,"671 Rua Alberto Bolliger, , 80030-280",,2025-06-20,,,,2,1,0,1,0,0,,,2,,,,,,,,,
335,kVXr7O7rJe,"2025-06-16 13:47:15",554,spazio,SPAZIOIMOVEISCURITIBA@GMAIL.COM,,"718 Rua Mateus Leme, , 80530-010",2025-06-10,2025-06-16,"CONTATO(41) 98711-4443(41) 98711-4443",,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
334,W0VNqOWjml,"2025-05-29 15:31:56",553,"eighth floor",,,"2150 Avenida Rep. Argentina, , 80610-260",2025-05-29,2025-05-29,,,,1,1,0,0,0,0,,Outros,1,,,,,,<p>augusto&nbsp;</p>,,,
333,W4yQk7EQgP,"2025-05-26 19:38:59",552,Spazio,,,,,2025-05-26,,,,3,0,0,2,0,0,,Outros,3,,,,,,,,,
332,B8qQPzVr16,"2025-05-14 03:05:01",551,"H5 Imoveis",,,"1529 Avenida Munhoz da Rocha, , 80035-000",2025-05-12,2025-05-14,"Av Munhoz da Rocha, nº1529, fundos - Cabral - Curitiba / PR - CEP: 80035-000 CRECI: 3942J / Combinado R$ 100,00 com Sr. Fernando",,www.h5imoveis.com.br,1,0,0,1,0,0,,Outros,1,,,,,,,,,
331,mloNLz7jM8,"2025-05-07 18:11:49",550,Marcosul,marcosul.nereu@gmail.com,,"840 Avenida Tomaz Edison de Andrade Vieira, , 83327-160",2025-05-07,2025-05-07,"CRECI: J 5650",,https://www.marcosulimoveis.com.br/,6,3,0,2,0,0,,Outros,6,,,,,,,,,
330,oGWN5B8QlA,"2025-04-15 16:35:26",549,"Novo Mundo",,,,2025-03-01,2025-04-15,oGWN5B8QlA,,,42,0,1,1,0,0,,Apolar,8,,,,,,,,,
329,3xPjX56rKG,"2025-04-03 17:34:50",536,"Maria Luiza",,,,2025-04-03,2025-04-03,,,,2,0,0,2,0,0,,Outros,2,,,,,,,,,
328,l5nQxlbQxY,"2025-03-26 16:26:37",535,Solos,solos@solosimobiliaria.com.br,,,2025-03-26,2025-03-26,"Solos Planejamento Imobiliário 
solos@solosimobiliaria.com.br
Cnpj 52.236.961/0001-01",,www.solosimobiliaria.com.br,1,0,0,0,0,0,,Outros,1,,,,,,,,,
327,m72Np7vrwv,"2025-03-17 21:05:40",534,"Camila Borges",camila.c.borges@gmail.com,,,2025-03-17,2025-03-17,"ex corretora da VivaVille 55 41 9845-3343",,,3,0,0,1,0,0,,Outros,3,,,,,,,,,
326,4Z9Q2JmQ2m,"2025-03-11 15:58:43",533,"LC Sampaio",vendas@lcsampaioimoveis.com.br,,"212 Rua Odair Pazello, , 81130-080",2025-03-11,2025-03-11,"CRECI: 06303J / (41) 3019-8048 / 28.797.079/0001-42",,www.lcsampaioimoveis.com.br,1,0,0,0,0,0,,Outros,1,,,,,,,,,
325,7oOjDwMQB9,"2024-12-17 17:48:34",532,,,,,,2024-12-17,,,,0,0,0,0,0,0,,,0,,,,,,,,,
324,ObEjEz0rK5,"2024-12-17 17:48:31",531,CONQUI,,,,,2024-12-17,,,,4,0,0,0,0,0,,Outros,1,,,,,,,,,
323,4YZjndRNPv,"2024-12-02 16:40:59",530,"RC Imoveis",,,"2435 Rua Ourizona, , 81920-620",2024-12-02,2024-12-02,"RC EMPREENDIMENTOS IMOBILIÁRIOS RONI CESAR LAITNER DE LIMA E CIA LTDA 
CNPJ 04.740.179/0001-74 
RUA OURIZONA 2435 SÍTIO CERCADO 
FONE 3015-7770 
CELULAR 988023144",,https://imobiliariarc.com.br,4,0,0,4,0,0,,Outros,4,,,,,,,,,
321,pPEry2yNOn,"2024-11-11 12:45:06",528,"Casa7 imóveis",,,,,2024-11-11,,,,0,1,0,0,0,0,,Outros,0,,,,,,,,,
320,DkMjmyKjvV,"2024-10-15 17:26:43",527,iQuattro,,,,,2024-10-15,,,,10,0,0,0,0,3,,Outros,0,,,,,,,,,
319,X9EjVDqNo2,"2024-10-08 17:50:17",526,"Laura Tanios",,,,,2024-10-08,,,,6,0,0,0,0,1,,Outros,0,,,,,,,,,
318,3GDN1WRjeq,"2024-10-08 17:48:44",525,,,,,,2024-10-08,,,"Laura Tanios Curadoria Imobiliária",0,0,0,0,0,0,,Outros,0,,,,,,,,,
317,6b1rAp1jKk,"2024-09-30 10:32:27",524,"JYO Valença - Julia",,,,2024-09-30,2024-09-30,10.920.029/0001-45,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
316,K68j9OlN2V,"2024-09-26 15:27:37",523,"Rogerio Castilhos AUTONOMO",,,,,2024-09-26,,,,1,0,0,0,0,0,,Outros,1,,,,,,,,,
315,DVarwllNOR,"2024-08-16 17:29:53",522,"CAMILA / DANI",,,,,2024-08-16,,,,0,0,2,0,0,0,,Outros,0,,,,,,,,,
314,L5MjK6MQ0k,"2024-08-14 14:30:44",521,"RG IMÓVEIS",,,,,2024-08-14,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
313,VX9QoV9NwY,"2024-08-10 10:41:55",520,"Ninon autonoma",,,,,2024-08-10,,,,3,0,1,0,0,0,,Outros,0,,,,,,,,,
312,JDXQ8OgNYR,"2024-08-09 10:03:57",519,,,,,,2024-08-09,,,,0,0,0,0,0,0,,,0,,,,,,,,,
311,q3kjZM5Q6V,"2024-08-09 10:03:55",518,"Valsa Homes",,,,,2024-08-09,,,,129,4,10,9,0,17,,Outros,15,,,,,,,,,
310,698rd7OjZw,"2024-08-06 17:50:11",517,"ANA WILKE E DANI",,,,,2024-08-06,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
309,K2ejl96ro9,"2024-08-06 17:49:40",516,,,,,,2024-08-06,,,,0,0,0,0,0,0,,,0,,,,,,,,,
308,eykNOzPrDY,"2024-08-06 17:49:37",515,,,,,,2024-08-06,,,,0,0,0,0,0,0,,,0,,,,,,,,,
307,lGArgaqQmR,"2024-08-06 17:49:25",514,"ANA WILKE e DANI",,,,,2024-08-06,,,,0,0,1,0,0,0,,Outros,0,,,,,,,,,
306,o6WQb5VNnB,"2024-08-03 19:44:44",513,"Camila Miranda Corretora",,,,,2024-08-03,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
305,oaANBDvj1b,"2024-07-02 15:17:24",512,"W Investments",,,,,2024-07-02,,,,8,0,1,0,0,0,,Outros,1,,,,,,,,,
304,4PzQ489QJG,"2024-06-12 15:56:00",511,,,,,,2024-06-12,,,,0,0,0,0,0,0,,,0,,,,,,,,,
303,5m9N09BQzq,"2024-06-12 15:55:58",510,,,,,,2024-06-12,"cnpj: 09168174000132",,,0,0,0,0,0,0,,,0,,,,,,,,,
302,4MXQJqaNZ6,"2024-06-12 15:55:45",509,Bellos,,,"246 Rua Frederico Cantarelli, , 80710-240",2024-06-12,2024-06-12,,,https://www.bellosimoveis.com.br/,0,0,0,0,0,0,,Outros,0,,,,,,,,,
301,DVWQWvGNZ4,"2024-06-12 15:51:24",508,Bellos,,,,,2024-06-12,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
300,ka6jMJ3r75,"2024-06-05 16:35:17",507,"Roberto autonomo",,,,,2024-06-05,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
299,q3kjZoxr6V,"2024-05-21 15:27:09",506,KS,,,,,2024-05-21,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
298,698rdvkQZw,"2024-04-18 16:44:11",505,"ÚNIKO NEGOCIOS IMOBILIÁRIOS",,,,,2024-04-18,,,,1,0,0,1,0,0,,Outros,1,,,,,,,,,
297,K2ejl0Bjo9,"2024-03-28 15:05:41",504,Pina,,,,,2024-03-28,,,,1,1,0,1,0,0,,Outros,1,,,,,,,,,
296,eykNO4dQDY,"2024-02-22 11:03:39",503,"Claro Imobiliária",,,,,2024-02-22,,,,7,0,0,0,0,0,,Outros,1,,,,,,,,,
295,lGArgaPQmR,"2024-01-29 18:43:11",502,"cláudia particular",,,,,2024-01-29,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
294,o6WQb5BNnB,"2024-01-29 18:38:57",501,,,,,,2024-01-29,,,,0,0,0,0,0,0,,,0,,,,,,,,,
293,oaANBDZj1b,"2024-01-29 18:38:51",500,"Cáudia particular",,,,,2024-01-29,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
292,4PzQ48gQJG,"2024-01-09 18:24:54",499,"Rodrigo Dias Autônomo",,,,,2024-01-09,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
291,5m9N09xQzq,"2023-12-23 09:52:25",498,"vivi autonoma",,,,,2023-12-23,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
290,4MXQJqKNZ6,"2023-12-21 17:41:25",497,"VICENTE PARTICULAR",,,,,2023-12-21,,,,1,0,0,0,0,0,,Outros,1,,,,,,,,,
289,DVWQWv4NZ4,"2023-12-18 09:38:27",496,"Chay Particular",,,,,2023-12-18,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
288,ka6jMJ9r75,"2023-12-15 13:12:48",495,"Frentte Imóveis",,,,,2023-12-15,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
287,P74QYzEjBE,"2023-12-11 13:42:26",494,,,,,,2023-12-11,,,,0,0,0,0,0,0,,,0,,,,,,,,,
286,4AXQvoZjLY,"2023-12-11 13:42:19",493,"Particular andre luis rausch",,,,,2023-12-11,"André Luís Neves Aguilar
CPF 599.702.279-04",,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
285,53GN6GzQzx,"2023-11-24 13:18:11",492,"Elizete Autonôma",,,,,2023-11-24,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
284,M03rzZOr69,"2023-11-24 12:01:07",491,"Elizete Particular",,,,,2023-11-24,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
283,LX6QaqXQZk,"2023-11-20 09:13:23",490,"Arthur Schuchovski Particular",,,,,2023-11-20,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
282,0DzjGRLQYp,"2023-11-18 11:24:18",489,CAM,,,,,2023-11-18,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
281,kOGQ3ZMNln,"2023-11-04 10:40:02",488,,,,,,2023-11-04,,,,0,0,0,0,0,0,,,0,,,,,,,,,
280,JawrRPaQ5k,"2023-11-04 10:39:57",487,"Terezinha autonoma",,,,,2023-11-04,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
279,kVXr7RojJe,"2023-09-28 16:01:00",486,"Vente Imóveis",,,,,2023-09-28,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
278,W0VNq6xQml,"2023-09-18 12:31:59",485,"Ervin Particular",,,,,2023-09-18,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
277,W4yQkJ6NgP,"2023-09-14 15:17:13",484,"Bruno Sampaio - Autônomo",,,,,2023-09-14,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
