"Auto Increment","Record ID","Created On","Codigo Vitrine - Automatico","Data/Hora - Cod Vitrine Criado"
ÿþ33922,blNev6eQxw,"2025-09-11 19:26:50",155680,"2025-09-11 19:26:50"
33921,PEryGKJQOn,"2025-09-11 19:26:40",155679,"2025-09-11 19:26:40"
33920,kMjmgJkNvV,"2025-09-11 19:26:31",155678,"2025-09-11 19:26:31"
33919,9EjVe54Qo2,"2025-09-11 19:26:21",155677,"2025-09-11 19:26:21"
33918,GDN11OaNeq,"2025-09-11 19:26:10",155676,"2025-09-11 19:26:10"
33917,b1rAK5yQKk,"2025-09-11 17:19:58",155675,"2025-09-11 17:19:58"
33916,68j9b93r2V,"2025-09-11 13:36:54",155674,"2025-09-11 13:36:54"
33915,VarwG8erOR,"2025-09-11 12:57:40",155673,"2025-09-11 12:57:40"
33914,5MjKg5Oj0k,"2025-09-11 12:56:43",155672,"2025-09-11 12:56:43"
33913,X9Qol4OjwY,"2025-09-11 12:55:50",155671,"2025-09-11 12:55:50"
33912,DXQ8BwkrYR,"2025-09-11 12:54:18",155670,"2025-09-11 12:54:18"
33911,3kjZeqkQ6V,"2025-09-11 12:53:34",155669,"2025-09-11 12:53:34"
33910,98rd6ngQZw,"2025-09-10 23:30:58",155668,"2025-09-10 23:30:58"
33909,2ejlbYENo9,"2025-09-10 19:13:26",155667,"2025-09-10 19:13:26"
33908,ykNOZ5brDY,"2025-09-10 19:13:13",155666,"2025-09-10 19:13:13"
33907,GArgWR4rmR,"2025-09-10 18:19:56",155665,"2025-09-10 18:19:56"
33906,6WQbzn8QnB,"2025-09-10 18:19:43",155664,"2025-09-10 18:19:43"
33905,aANBwzOQ1b,"2025-09-10 11:34:08",155663,"2025-09-10 11:34:08"
33904,PzQ4WZPNJG,"2025-09-10 11:32:29",155662,"2025-09-10 11:32:29"
33903,m9N01gLQzq,"2025-09-10 11:27:49",155661,"2025-09-10 11:27:49"
33902,MXQJbRRQZ6,"2025-09-10 11:25:17",155660,"2025-09-10 11:25:17"
33901,VWQWen6rZ4,"2025-09-09 22:50:23",155659,"2025-09-09 22:50:23"
33900,a6jMl50Q75,"2025-09-09 19:48:21",155658,"2025-09-09 19:48:21"
33899,3kjZeqXQ6V,"2025-09-09 19:48:12",155657,"2025-09-09 19:48:12"
33898,98rd6n8QZw,"2025-09-09 19:48:02",155656,"2025-09-09 19:48:02"
33897,2ejlbYbNo9,"2025-09-09 19:47:51",155655,"2025-09-09 19:47:51"
33896,ykNOZ5orDY,"2025-09-09 19:47:40",155654,"2025-09-09 19:47:40"
33895,GArgWR2rmR,"2025-09-09 18:11:46",155653,"2025-09-09 18:11:46"
33894,6WQbznqQnB,"2025-09-09 12:46:20",155652,"2025-09-09 12:46:20"
33893,aANBwzPQ1b,"2025-09-09 12:45:01",155651,"2025-09-09 12:45:01"
33892,PzQ4WZeNJG,"2025-09-09 12:43:23",155650,"2025-09-09 12:43:23"
33891,m9N01gOQzq,"2025-09-09 12:42:29",155649,"2025-09-09 12:42:29"
33890,MXQJbRmQZ6,"2025-09-09 12:05:45",155648,"2025-09-09 12:05:45"
33889,VWQWen9rZ4,"2025-09-09 12:04:07",155647,"2025-09-09 12:04:07"
33888,a6jMl5bQ75,"2025-09-09 12:03:12",155646,"2025-09-09 12:03:12"
33887,74QYqnDQBE,"2025-09-09 12:01:30",155645,"2025-09-09 12:01:30"
33886,AXQv9ZoNLY,"2025-09-09 01:03:31",155644,"2025-09-09 01:03:31"
33885,3GN60oDjzx,"2025-09-09 01:03:21",155643,"2025-09-09 01:03:21"
33884,03rzGw2N69,"2025-09-09 01:03:13",155642,"2025-09-09 01:03:13"
33883,X6QaYnBQZk,"2025-09-09 01:02:36",155641,"2025-09-09 01:02:36"
33882,DzjG05DrYp,"2025-09-08 20:19:05",155640,"2025-09-08 20:19:05"
33881,OGQ3Mdorln,"2025-09-08 19:35:53",155639,"2025-09-08 19:35:53"
33880,awrRK5gN5k,"2025-09-08 19:35:31",155638,"2025-09-08 19:35:31"
33879,VXr74zENJe,"2025-09-08 19:35:02",155637,"2025-09-08 19:35:02"
33878,0VNqYpqNml,"2025-09-08 18:07:48",155636,"2025-09-08 18:07:48"
